date,palettes_entrees,tonnage_total_kg,tonnage_moyen_palette,attente_moyenne_h,attente_max_h,nb_alertes_8h,type_cb_simple_parage,type_cb_double_parage,type_ct_simple_parage,type_longe_precuit,type_miette,type_morcele,stock_fin_jour,palettes_alimentees_ligne,ligne_5_21,ligne_5_22,ligne_400,ligne_1_5,ligne_manuel,nb_articles_differents,nb_cycles_autoclave,duree_moyenne_cycle,duree_max_cycle,nb_autoclaves_utilises,boites_emballees,nb_lots_emballage,jour_semaine,est_lundi,est_vendredi,target_palettes_demain,target_tonnage_demain,target_cycles_demain,target_boites_demain,target_alertes_demain
2025-12-17,19,6038.27,317.80368421052634,6.056228070175439,9.52138888888889,5,5,5,3,3,3,0,0,19,2,11,1,2,3,6,5,75.2,85,3,9258,5,2,0,0,16.0,4707.67,3.0,5900.0,1.0
2025-12-18,16,4707.67,294.229375,5.958194444444445,9.732777777777779,5,10,2,0,1,1,2,0,16,7,5,0,2,2,6,3,87.33333333333333,95,2,5900,3,3,0,0,28.0,8434.669999999998,3.0,7497.0,1.0
2025-12-19,28,8434.669999999998,301.2382142857142,5.282767857142858,9.759166666666667,6,12,5,2,0,5,4,0,28,7,10,2,2,7,6,3,64.66666666666667,74,2,7497,3,4,0,1,40.0,12286.119999999999,7.0,13734.0,1.0
2025-12-22,40,12286.119999999999,307.15299999999996,5.910861111111112,9.873888888888889,8,13,5,5,5,3,9,0,40,12,11,2,11,4,6,7,70.85714285714286,89,5,13734,7,0,1,0,35.0,10706.79,3.0,7369.0,1.0
2025-12-23,35,10706.79,305.90828571428574,6.021103174603176,9.871944444444445,10,18,2,3,5,2,5,0,35,12,13,3,3,4,6,3,73.0,87,2,7369,3,1,0,0,15.0,4716.76,5.0,12038.0,1.0
2025-12-24,15,4716.76,314.4506666666667,5.786185185185186,8.898333333333333,4,10,1,2,0,0,2,0,15,4,3,3,2,3,5,5,80.0,89,3,12038,5,2,0,0,15.0,4963.03,4.0,10209.0,1.0
2025-12-25,15,4963.03,330.8686666666666,5.980629629629631,9.051944444444445,4,8,2,0,2,2,1,0,15,8,3,1,3,0,6,4,70.75,87,3,10209,4,3,0,0,29.0,9505.78,5.0,12639.0,1.0
2025-12-26,29,9505.78,327.78551724137935,5.692030651340995,9.2925,7,10,6,4,2,3,4,0,29,8,10,4,6,1,6,5,70.2,82,3,12639,5,4,0,1,24.0,7561.18,6.0,14203.0,1.0
2025-12-29,24,7561.18,315.0491666666667,5.578854166666666,9.211388888888889,6,8,1,4,1,1,9,0,24,7,7,6,3,1,6,6,70.83333333333333,90,4,14203,6,0,1,0,24.0,7493.630000000001,4.0,9326.0,1.0
2025-12-30,24,7493.630000000001,312.2345833333334,6.676851851851851,9.612222222222222,6,11,3,1,3,3,3,0,24,6,11,2,2,3,6,4,64.75,78,3,9326,4,1,0,0,38.0,12239.63,5.0,9011.0,1.0
2025-12-31,38,12239.63,322.09552631578947,5.966045321637428,9.82611111111111,9,14,3,3,10,3,5,0,38,12,8,8,7,3,6,5,68.6,85,4,9011,5,2,0,0,32.0,8972.19,4.0,9958.0,1.0
2026-01-01,32,8972.19,280.3809375,5.807256944444444,9.767222222222221,8,12,3,6,5,4,2,0,32,6,6,6,9,5,6,4,78.25,90,3,9958,4,3,0,0,27.0,8867.21,6.0,13811.0,1.0
2026-01-02,27,8867.21,328.4151851851852,6.439012345679013,9.898888888888889,7,9,2,7,4,2,3,0,27,5,13,2,6,1,6,6,83.0,89,3,13811,6,4,0,1,36.0,11151.99,7.0,14847.0,1.0
2026-01-05,36,11151.99,309.7775,5.94557098765432,9.360555555555555,7,16,1,2,6,7,4,0,36,8,8,7,9,4,6,7,65.85714285714286,91,2,14847,7,0,1,0,30.0,9619.51,6.0,17283.0,1.0
2026-01-06,30,9619.51,320.6503333333333,5.749768518518518,9.8175,8,16,5,1,4,3,1,0,30,15,5,4,3,3,6,6,79.16666666666667,95,3,17283,6,1,0,0,33.0,10394.29,6.0,13692.0,1.0
2026-01-07,33,10394.29,314.97848484848487,5.897584175084175,9.598333333333333,7,16,7,4,1,2,3,0,33,11,10,5,5,2,6,6,73.33333333333333,93,5,13692,6,2,0,0,37.0,11252.61,7.0,15995.0,1.0
2026-01-08,37,11252.61,304.1245945945946,5.672094594594595,9.649444444444445,10,10,4,3,7,8,5,0,37,11,10,5,6,5,6,7,68.57142857142857,94,5,15995,7,3,0,0,23.0,7024.909999999999,4.0,6490.0,1.0
2026-01-09,23,7024.909999999999,305.43086956521734,5.159202898550724,9.986666666666666,5,10,1,4,3,1,4,0,23,8,6,2,3,4,6,4,83.5,95,3,6490,4,4,0,1,23.0,7187.01,4.0,9681.0,1.0
2026-01-12,23,7187.01,312.47869565217394,5.3293357487922695,9.938055555555556,3,5,2,6,6,3,1,0,23,9,8,1,4,1,6,4,67.25,92,4,9681,4,0,1,0,23.0,7606.77,5.0,12817.0,1.0
2026-01-13,23,7606.77,330.72913043478263,5.8131400966183575,9.994166666666667,8,9,3,2,2,2,5,0,23,3,7,5,5,3,6,5,68.0,94,3,12817,5,1,0,0,26.0,8300.35,4.0,8709.0,1.0
2026-01-14,26,8300.35,319.2442307692308,6.654764957264957,9.846388888888889,8,13,3,2,1,2,5,0,26,12,4,2,5,3,6,4,82.0,94,2,8709,4,2,0,0,22.0,7240.09,5.0,12166.0,1.0
2026-01-15,22,7240.09,329.095,5.781199494949495,9.215833333333334,2,5,1,7,2,2,5,0,22,7,4,2,7,2,6,5,82.4,92,3,12166,5,3,0,0,23.0,7543.269999999999,3.0,7713.0,1.0
2026-01-16,23,7543.269999999999,327.96826086956514,5.35641304347826,8.76361111111111,2,11,3,2,3,2,2,0,23,7,6,4,2,4,6,3,68.0,78,3,7713,3,4,0,1,37.0,11089.269999999999,7.0,13819.0,1.0
2026-01-19,37,11089.269999999999,299.71,5.811216216216216,9.488611111111112,6,19,5,3,3,4,3,0,37,8,13,5,7,4,6,7,75.28571428571429,93,4,13819,7,0,1,0,33.0,10343.03,4.0,7024.0,1.0
2026-01-20,33,10343.03,313.4251515151515,6.428813131313132,9.846666666666666,10,16,3,6,0,3,5,0,33,10,8,7,6,2,6,4,76.25,92,3,7024,4,1,0,0,40.0,12878.98,3.0,5923.0,1.0
2026-01-21,40,12878.98,321.9745,6.0450486111111115,9.921666666666667,10,17,3,6,6,4,4,0,40,13,14,5,6,2,6,3,66.0,82,2,5923,3,2,0,0,36.0,12527.75,4.0,8507.0,1.0
2026-01-22,36,12527.75,347.99305555555554,6.1344058641975305,9.925555555555556,10,13,7,7,1,4,4,0,36,7,10,9,6,4,6,4,75.0,85,4,8507,4,3,0,0,23.0,7662.23,3.0,8342.0,1.0
2026-01-23,23,7662.23,333.1404347826087,6.337657004830917,9.913611111111111,8,11,3,2,2,1,4,0,23,3,11,6,0,3,6,3,65.66666666666667,72,3,8342,3,4,0,1,25.0,7718.39,3.0,8361.0,1.0
2026-01-26,25,7718.39,308.73560000000003,5.8931,9.722777777777777,5,9,2,5,1,6,2,0,25,6,9,6,3,1,6,3,75.66666666666667,86,3,8361,3,0,1,0,15.0,4766.570000000001,5.0,9904.0,1.0
2026-01-27,15,4766.570000000001,317.77133333333336,6.016296296296296,9.151388888888889,3,3,5,2,2,1,2,0,15,8,1,1,4,1,5,5,83.6,92,3,9904,5,1,0,0,18.0,5541.2,5.0,11982.0,1.0
2026-01-28,18,5541.2,307.84444444444443,7.483966049382715,9.910833333333333,7,12,1,0,1,3,1,0,18,4,5,2,2,5,6,5,73.2,85,3,11982,5,2,0,0,34.0,10765.43,3.0,5299.0,1.0
2026-01-29,34,10765.43,316.63029411764705,5.819648692810457,9.691666666666666,8,11,6,2,6,6,3,0,34,7,14,5,2,6,6,3,70.66666666666667,84,2,5299,3,3,0,0,17.0,5727.98,4.0,11380.0,1.0
2026-01-30,17,5727.98,336.94,6.141388888888889,8.304444444444444,3,5,5,3,2,1,1,0,17,4,6,1,2,4,6,4,75.0,87,2,11380,4,4,0,1,40.0,12731.76,4.0,9138.0,1.0
2026-02-02,40,12731.76,318.294,6.480611111111111,9.964166666666667,15,16,4,7,4,5,4,0,40,8,12,6,7,7,6,4,69.0,77,2,9138,4,0,1,0,34.0,10643.269999999999,4.0,9649.0,1.0
2026-02-03,34,10643.269999999999,313.03735294117644,6.5423366013071895,9.494166666666667,8,16,6,2,4,3,3,0,34,11,11,4,7,1,6,4,79.0,87,4,9649,4,1,0,0,16.0,5463.02,6.0,12874.0,1.0
2026-02-04,16,5463.02,341.43875,6.060451388888889,8.578611111111112,3,2,2,3,4,3,2,0,16,8,1,2,1,4,6,6,71.5,84,3,12874,6,2,0,0,36.0,11672.19,3.0,6948.0,1.0
2026-02-05,36,11672.19,324.2275,5.98628086419753,9.823888888888888,11,13,5,4,5,6,3,0,36,10,13,9,2,2,6,3,73.66666666666667,82,2,6948,3,3,0,0,24.0,7586.06,3.0,5664.0,1.0
2026-02-06,24,7586.06,316.08583333333337,6.039143518518519,9.809722222222222,6,5,5,6,2,1,5,0,24,9,7,3,2,3,6,3,86.66666666666667,94,2,5664,3,4,0,1,36.0,10899.0,5.0,9621.0,1.0
2026-02-09,36,10899.0,302.75,6.029861111111111,9.928888888888888,9,11,3,5,8,6,3,0,36,9,12,2,10,3,6,5,71.6,88,3,9621,5,0,1,0,31.0,9686.470000000003,3.0,6222.0,1.0
2026-02-10,31,9686.470000000003,312.4667741935485,5.787356630824372,9.823333333333334,8,12,4,5,1,3,6,0,31,5,12,3,7,4,6,3,66.0,73,2,6222,3,1,0,0,23.0,7138.38,6.0,13231.0,1.0
2026-02-11,23,7138.38,310.36434782608694,5.872439613526569,9.9975,6,8,4,2,3,3,3,0,23,6,10,5,2,0,6,6,75.83333333333333,90,3,13231,6,2,0,0,21.0,6352.629999999999,3.0,5350.0,1.0
2026-02-12,21,6352.629999999999,302.50619047619045,5.735555555555557,9.316944444444445,5,8,0,4,2,6,1,0,21,8,5,5,0,3,6,3,68.66666666666667,75,2,5350,3,3,0,0,19.0,6234.23,3.0,7382.0,1.0
2026-02-13,19,6234.23,328.1173684210526,6.400043859649124,9.964444444444444,6,7,4,2,4,1,1,0,19,5,7,3,2,2,6,3,83.33333333333333,92,3,7382,3,4,0,1,35.0,10592.93,5.0,9013.0,1.0
2026-02-16,35,10592.93,302.6551428571429,5.701293650793652,9.646944444444445,7,18,1,8,3,5,0,0,35,11,8,9,4,3,6,5,79.0,92,4,9013,5,0,1,0,38.0,11646.21,4.0,10336.0,1.0
2026-02-17,38,11646.21,306.47921052631574,6.218004385964911,9.789722222222222,8,18,8,4,5,0,3,0,38,5,16,6,5,6,6,4,75.5,94,2,10336,4,1,0,0,30.0,8857.04,4.0,9362.0,1.0
2026-02-18,30,8857.04,295.23466666666667,5.7354259259259255,9.6125,6,10,6,3,3,1,7,0,30,10,7,5,5,3,6,4,66.25,82,3,9362,4,2,0,0,23.0,7578.389999999999,4.0,8421.0,1.0
2026-02-19,23,7578.389999999999,329.4952173913043,6.595072463768116,9.995833333333334,9,10,3,0,6,3,1,0,23,5,8,4,5,1,6,4,77.0,92,4,8421,4,3,0,0,37.0,12017.930000000002,5.0,9062.0,1.0
2026-02-20,37,12017.930000000002,324.80891891891895,5.776478978978979,9.283055555555556,7,9,4,4,2,10,8,0,37,9,14,3,4,7,6,5,79.4,95,3,9062,5,4,0,1,19.0,5865.549999999999,4.0,7215.0,1.0
2026-02-23,19,5865.549999999999,308.7131578947368,6.675716374269006,9.9675,6,6,3,2,1,7,0,0,19,3,8,4,2,2,6,4,77.5,88,2,7215,4,0,1,0,22.0,6918.81,3.0,5939.0,1.0
2026-02-24,22,6918.81,314.49136363636364,7.013181818181817,9.738055555555556,8,8,1,3,6,1,3,0,22,8,8,3,1,2,5,3,72.0,80,3,5939,3,1,0,0,15.0,5117.51,6.0,13421.0,1.0
2026-02-25,15,5117.51,341.1673333333334,6.831500000000001,9.212222222222222,4,6,1,2,0,5,1,0,15,3,4,2,3,3,6,6,79.83333333333333,93,5,13421,6,2,0,0,30.0,9458.15,6.0,17539.0,1.0
2026-02-26,30,9458.15,315.27166666666665,5.935351851851851,9.825833333333334,9,11,1,2,5,4,7,0,30,10,5,7,5,3,6,6,76.66666666666667,95,4,17539,6,3,0,0,31.0,9435.429999999997,5.0,13896.0,1.0
2026-02-27,31,9435.429999999997,304.36870967741925,5.783216845878137,9.819166666666666,6,11,5,5,3,3,4,0,31,10,10,5,4,2,6,5,83.8,93,3,13896,5,4,0,1,40.0,12683.0,3.0,5699.0,1.0
2026-03-02,40,12683.0,317.075,5.715708333333334,9.794444444444444,8,20,6,4,2,6,2,0,40,12,10,7,6,5,6,3,83.33333333333333,90,2,5699,3,0,1,0,23.0,7373.59,3.0,5164.0,1.0
2026-03-03,23,7373.59,320.5908695652174,6.102222222222221,9.46861111111111,3,9,1,1,4,5,3,0,23,9,7,3,1,3,6,3,66.66666666666667,81,3,5164,3,1,0,0,39.0,12581.8,6.0,10712.0,1.0
2026-03-04,39,12581.8,322.6102564102564,5.990113960113959,9.8825,9,16,4,3,5,7,4,0,39,14,10,6,6,3,6,6,77.33333333333333,92,4,10712,6,2,0,0,25.0,7961.08,3.0,8445.0,1.0
2026-03-05,25,7961.08,318.4432,5.759011111111111,9.128055555555555,5,11,3,2,2,4,3,0,25,12,6,5,1,1,6,3,67.0,78,2,8445,3,3,0,0,20.0,6682.620000000001,6.0,13908.0,1.0
